,Body_Dimensions,Body_SIM,Body_Weight,Display_Resolution,Display_Size,Display_Type,Launch_Announced,Memory_Card slot,Memory_Internal,Name,Network_Technology,Platform_CPU,Platform_OS,Battery_Type,Comms_Bluetooth,Comms_Infrared port,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Features_Sensors,Main Camera_Dual,Main Camera_Features,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Misc_Price,Selfie camera_Features,Selfie camera_Single,Selfie camera_Video,Sound_3.5mm jack,Sound_Loudspeaker,Selfie camera_Dual,Selfie camera_Triple,Main Camera_Quad,Main Camera_Dual or Triple,Main Camera_Penta,Main Camera_Five,Device_label,Brand
159,133.5 x 66.8 x 7.4 mm (5.26 x 2.63 x 0.29 in),Micro-SIM,110 g (3.88 oz),"720 x 1280 pixels, 16:9 ratio (~312 ppi density)","4.7 inches, 60.9 cm2 (~68.3% screen-to-body ratio)",IPS LCD,"2013, August. Released 2013, December",microSDHC (dedicated slot),4GB 1GB RAM,alcatel Idol S,GSM / HSPA / LTE,Dual-core 1.2 GHz Cortex-A9,Android 4.2 (Jelly Bean),"Li-Ion 2000 mAh, non-removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","Accelerometer, proximity, compass",,"LED flash, panorama, HDR","8 MP, AF",,1080p@30fps,About 160 EUR,,1.3 MP,,Yes,Yes,,,,,,,phone,alcatel
160,127.1 x 62 x 7.9 mm (5.00 x 2.44 x 0.31 in),"Dual SIM (Micro-SIM, dual stand-by)",96 g (3.39 oz),"480 x 854 pixels, 16:9 ratio (~228 ppi density)","4.3 inches, 51.0 cm2 (~64.7% screen-to-body ratio)",IPS LCD,"2013, August. Released 2013, December",microSDHC (dedicated slot),"4GB 512MB RAM (SS), 8GB 512MB RAM (DS)",alcatel Idol Mini,GSM / HSPA,Dual-core 1.3 GHz Cortex-A7,Android 4.2 (Jelly Bean),"Li-Ion 1700 mAh, non-removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","Accelerometer, proximity, compass",,"LED flash, panorama","5 MP, AF",,720p@30fps,About 130 EUR,,Yes,,Yes,Yes,,,,,,,phone,alcatel
161,192 x 117.6 x 11.3 mm (7.56 x 4.63 x 0.44 in),No,340 g (11.99 oz),"480 x 800 pixels, 5:3 ratio (~133 ppi density)","7.0 inches, 139.5 cm2 (~61.8% screen-to-body ratio)",TFT,"2013, Q2. Released 2013, Q2",microSDHC (dedicated slot),"4GB (2.1GB user available), 1GB RAM",alcatel One Touch T10,No cellular connectivity,1.0 GHz Cortex-A8,Android 4.0.3 (Ice Cream Sandwich),"Li-Ion 3000 mAh, non-removable",No,,No,No,No,microUSB 2.0,Wi-Fi 802.11 b/g/n,Accelerometer,,,VGA,,Yes,About 130 EUR,,,,Yes,Yes,,,,,,,tablet,alcatel
162,134 x 69.6 x 10.9 mm (5.28 x 2.74 x 0.43 in),Micro-SIM,-,"480 x 854 pixels, 16:9 ratio (~211 ppi density)","4.65 inches, 59.6 cm2 (~63.9% screen-to-body ratio)",IPS LCD,"2013, February. Released 2013, July",microSDHC (dedicated slot),"4GB (2.4GB user available), 1GB RAM",alcatel One Touch Snap LTE,GSM / HSPA / LTE,Dual-core 1.2 GHz,Android 4.1 (Jelly Bean),"Li-Ion 2200 mAh, removable","4.0, A2DP",,No,GPS,"FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity, compass",,LED flash,"8 MP, AF",,720p,,,2 MP,720p,Yes,Yes,,,,,,,phone,alcatel
163,115 x 62.3 x 12.2 mm (4.53 x 2.45 x 0.48 in),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",118 g (4.16 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)","3.5 inches, 36.5 cm2 (~50.9% screen-to-body ratio)","TFT, 256K colors","2013, August. Released 2013, August",microSDHC (dedicated slot),512MB 256MB RAM,alcatel One Touch Pixi,GSM / HSPA,1.0 GHz,Android 2.3 (Gingerbread),"Li-Ion 1300 mAh, removable","4.0, A2DP",,No,No,"FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",Accelerometer,,,2 MP,,480p,About 50 EUR,,,,Yes,Yes,,,,,,,phone,alcatel
164,130.3 x 67 x 9 mm (5.13 x 2.64 x 0.35 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",-,"540 x 960 pixels, 16:9 ratio (~245 ppi density)","4.5 inches, 55.8 cm2 (~63.9% screen-to-body ratio)",IPS LCD,"2013, February. Released 2013, June",microSDHC (dedicated slot),"4GB (2.4GB user available), 1GB RAM",alcatel One Touch Snap,GSM / HSPA,Quad-core 1.2 GHz Cortex-A7,Android 4.2 (Jelly Bean),"Li-Ion 1800 mAh, removable","4.0, A2DP",,No,GPS,"FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity, compass",,LED flash,"8 MP, AF",,720p,,,1.3 MP,720p,Yes,Yes,,,,,,,phone,alcatel
165,140.4 x 67.5 x 6.9 mm (5.53 x 2.66 x 0.27 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",130 g (4.59 oz),"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","5.0 inches, 68.9 cm2 (~72.7% screen-to-body ratio)",IPS LCD,"2013, February. Released 2013, July",microSDHC (dedicated slot),"8GB 2GB RAM, 16GB 2GB RAM",alcatel Idol X,GSM / HSPA,Quad-core 1.5 GHz Cortex-A7,Android 4.2.1 (Jelly Bean),"Li-Ion 2000 mAh, non-removable","4.0, A2DP",,No,GPS,"FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","Accelerometer, proximity, compass",,LED flash,"13.1 MP, AF",,1080p@30fps,About 370 EUR,,2.1 MP,,Yes,Yes,,,,,,,phone,alcatel
166,115 x 62.3 x 12.2 mm (4.53 x 2.45 x 0.48 in),Mini-SIM,108 g (3.81 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)","3.5 inches, 36.5 cm2 (~50.9% screen-to-body ratio)","TFT, 256K colors","2013, February. Released 2013, July","microSDHC (dedicated slot), 2 GB included",160MB 512MB ROM 256MB RAM,alcatel One Touch Fire,GSM / HSPA,1.0 GHz Cortex-A5,Firefox OS 1.0,"Li-Ion 1400 mAh, removable",3.0,,No,GPS,Stereo FM radio,microUSB 2.0,Wi-Fi 802.11 b/g/n,"Accelerometer, proximity",,,3.15 MP,,480p@30fps,About 120 EUR,,,,Yes,Yes,,,,,,,phone,alcatel
167,117.9 x 60.8 x 9.7 mm (4.64 x 2.39 x 0.38 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",119.5 (4.20 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)","4.0 inches, 45.5 cm2 (~63.5% screen-to-body ratio)",AMOLED,"2013, February. Released 2013, March",microSDHC (dedicated slot),"4GB (2.4GB user available), 512MB RAM",alcatel One Touch Star,GSM / HSPA,Dual-core 1.0 GHz Cortex-A9,Android 4.1 (Jelly Bean),"Li-Ion 1500 mAh, removable","4.0, A2DP",,No,GPS,"FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot, DLNA","Accelerometer, proximity, compass",,LED flash,"5 MP, AF",,720p@30fps,About 220 EUR,,VGA,,Yes,Yes,,,,,,,phone,alcatel
168,143 x 78.4 x 9.8 mm (5.63 x 3.09 x 0.39 in),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",163 g (5.75 oz),"480 x 800 pixels, 5:3 ratio (~187 ppi density)","5.0 inches, 71.2 cm2 (~63.5% screen-to-body ratio)",TFT,"2013, February. Released 2013, May",microSDHC (dedicated slot),"4GB (2.4GB user available), 512MB RAM",alcatel One Touch Scribe Easy,GSM / HSPA,Dual-core 1.2 GHz Cortex-A5,Android 4.1.2 (Jelly Bean),"Li-Ion 2500 mAh, removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct","Accelerometer, proximity, compass",,LED flash,"5 MP, AF",,720p@24fps,About 170 EUR,,VGA,,Yes,Yes,,,,,,,phone,alcatel
169,191 x 127 x 11 mm (7.52 x 5.0 x 0.43 in),Single SIM or Dual SIM (dual stand-by),390 g (13.76 oz),"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","7.0 inches, 137.9 cm2 (~56.8% screen-to-body ratio)",TFT,"2013, January. Released 2013, January",microSDHC (dedicated slot),4GB 1GB RAM,alcatel One Touch Evo 7,No cellular connectivity,1.0 GHz,Android 4.0 (Ice Cream Sandwich),"Li-Ion, non-removable","2.0, A2DP",,No,GPS,No,microUSB 2.0,Wi-Fi 802.11 b/g/n,,,,VGA,,Yes,About 100 EUR,,,,No,Yes,,,,,,,tablet,alcatel
170,197 x 120 x 10 mm (7.76 x 4.72 x 0.39 in),Single SIM or Dual SIM (dual stand-by),350 g (12.35 oz),"800 x 1280 pixels, 16:10 ratio (~216 ppi density)","7.0 inches, 142.1 cm2 (~60.1% screen-to-body ratio)",IPS LCD,"2013, January. Released 2013, January",microSDHC (dedicated slot),4GB 1GB RAM,alcatel One Touch Evo 7 HD,No cellular connectivity,Dual-core 1.6 GHz,Android 4.1 (Jelly Bean),"Li-Ion, non-removable","4.0, A2DP",,No,GPS,No,microUSB 2.0,Wi-Fi 802.11 b/g/n,,,,3 MP,,Yes,About 140 EUR,,VGA,,No,Yes,,,,,,,tablet,alcatel
171,202 x 154 x 9.5 mm (7.95 x 6.06 x 0.37 in),,400 g (14.11 oz),"768 x 1024 pixels, 4:3 ratio (~160 ppi density)","8.0 inches, 198.2 cm2 (~63.7% screen-to-body ratio)",IPS LCD,"2013, January. Released 2013, June",microSDHC (dedicated slot),8GB 1GB RAM,alcatel One Touch Tab 8 HD,No cellular connectivity,Dual-core 1.6 GHz,Android 4.1 (Jelly Bean),"Li-Ion, non-removable","2.1, A2DP",,No,GPS,No,microUSB 2.0,Wi-Fi 802.11 b/g/n,,,,2 MP,,Yes,About 140 EUR,,VGA,,Yes,Yes,,,,,,,tablet,alcatel
172,192.8 x 121 x 9.5 mm (7.59 x 4.76 x 0.37 in),No,350 g (12.35 oz),"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","7.0 inches, 137.9 cm2 (~59.1% screen-to-body ratio)",TFT,"2013, January. Released 2013, May",microSDHC (dedicated slot),4GB 1GB RAM,alcatel One Touch Tab 7,No cellular connectivity,1.0 GHz Cortex-A9,Android 4.1 (Jelly Bean),"Li-ion 3240 mAh, non-removable","2.1, A2DP",,No,No,No,microUSB 2.0,Wi-Fi 802.11 b/g/n,,,,VGA,,Yes,About 100 EUR,,,,Yes,Yes,,,,,,,tablet,alcatel
173,191 x 125 x 9.1 mm (7.52 x 4.92 x 0.36 in),No,350 g (12.35 oz),"800 x 1280 pixels, 16:10 ratio (~216 ppi density)","7.0 inches, 142.1 cm2 (~59.5% screen-to-body ratio)",IPS LCD,"2013, January. Released 2013, May",microSDHC (dedicated slot),8GB 1GB RAM,alcatel One Touch Tab 7 HD,No cellular connectivity,Dual-core 1.6 GHz Cortex-A9,Android 4.1 (Jelly Bean),"Li-Ion 3300 mAh, non-removable","2.1, A2DP",,No,GPS,No,microUSB 2.0,Wi-Fi 802.11 b/g/n,,,,2 MP,,Yes,About 110 EUR,,VGA,,Yes,Yes,,,,,,,tablet,alcatel
174,134.4 x 68.5 x 6.5 mm (5.29 x 2.70 x 0.26 in),Micro-SIM,115 g (4.06 oz),"720 x 1280 pixels, 16:9 ratio (~316 ppi density)","4.65 inches, 59.6 cm2 (~64.7% screen-to-body ratio)",AMOLED,"2013, January. Released 2013, April",No,16GB 1GB RAM,alcatel One Touch Idol Ultra,GSM / HSPA,Dual-core 1.2 GHz Cortex-A9,Android 4.1 (Jelly Bean),"Li-Ion 1800 mAh, non-removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","Accelerometer, proximity, compass",,LED flash,"8 MP, AF",,1080p@30fps,About 270 EUR,,1.3 MP,,"No, included adaptor for 3.5mm",Yes,,,,,,,phone,alcatel
175,133 x 67.5 x 7.9 mm (5.24 x 2.66 x 0.31 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",109 g (3.84 oz),"540 x 960 pixels, 16:9 ratio (~236 ppi density)","4.66 inches, 59.9 cm2 (~66.7% screen-to-body ratio)",IPS LCD,"2013, January. Released 2013, May",microSDHC (dedicated slot),"4GB / 13.3GB (dual SIM version), 1GB RAM",alcatel One Touch Idol,GSM / HSPA,Dual-core 1.0 GHz Cortex-A9,Android 4.1 (Jelly Bean),"Li-Ion 1800 mAh, non-removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","Accelerometer, proximity, compass",,LED flash,"8 MP, AF",,Yes,About 230 EUR,,2 MP,,Yes,Yes,,,,,,,phone,alcatel
176,115 x 62.3 x 12.2 mm (4.53 x 2.45 x 0.48 in),Mini-SIM,118 g (4.16 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)","3.5 inches, 36.5 cm2 (~50.9% screen-to-body ratio)","TFT, 256K colors","2013, January. Released 2013, February",microSDHC (dedicated slot),512MB 256MB RAM,alcatel One Touch T'Pop,GSM / HSPA,1.0 GHz Cortex-A9,Android 2.3 (Gingerbread),"Li-Ion 1400 mAh, removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity",,,"2 MP, EU, or 3.2 MP, Americas",,Yes,About 100 EUR,,,,Yes,Yes,,,,,,,phone,alcatel
177,115 x 61.2 x 12.2 mm (4.53 x 2.41 x 0.48 in),Mini-SIM,122 g (4.30 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)","3.5 inches, 36.5 cm2 (~51.8% screen-to-body ratio)","TFT, 256K colors","2013, January. Released 2013, February",microSDHC (dedicated slot),"4GB (2GB user available), 512MB RAM",alcatel One Touch S'Pop,GSM / HSPA,1.0 GHz Cortex-A9,Android 4.1 (Jelly Bean),"Li-Ion 1400 mAh, removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity",,,3.15 MP,,Yes,About 100 EUR,,VGA,,Yes,Yes,,,,,,,phone,alcatel
178,121.5 x 64 x 11.8 mm (4.78 x 2.52 x 0.46 in),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",136.5 g (4.80 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)","4.0 inches, 45.5 cm2 (~58.6% screen-to-body ratio)",TFT,"2013, January. Released 2013, May",microSDHC (dedicated slot),"4GB 512MB RAM, 4GB 1GB RAM (5020W)",alcatel One Touch M'Pop,GSM / HSPA,1.0 GHz Cortex-A9,Android 4.1 (Jelly Bean),"Li-Ion 1400 mAh, removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","Accelerometer, proximity",,,"5 MP, AF (OT-5020W only)",,720p@30fps,About 140 EUR,,VGA,,Yes,Yes,,,,,,,phone,alcatel
179,131 x 68 x 10.9 mm/ 11.3mm (NFC),Mini-SIM,139 g (4.90 oz),"540 x 960 pixels, 16:9 ratio (~245 ppi density)","4.5 inches, 55.8 cm2 (~62.7% screen-to-body ratio)",TFT,"2013, January. Released 2013, May",microSDHC (dedicated slot),"4GB (1GB user available), 512MB RAM",alcatel One Touch X'Pop,GSM / HSPA,Dual-core 1.0 GHz Cortex-A9,Android 4.1 (Jelly Bean),"Li-Ion 1800 mAh, removable","4.0, A2DP",,Yes (OT-5035Y model only),GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity, compass",,LED flash,"5 MP, AF",,720p@30fps,About 150 EUR,,VGA,,Yes,Yes,,,,,,,phone,alcatel
180,144 x 75 x 8.7 mm (5.67 x 2.95 x 0.34 in),Micro-SIM,135 g (4.76 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","5.0 inches, 68.9 cm2 (~63.8% screen-to-body ratio)",IPS LCD,"2013, January. Released 2013, October",microSDHC (dedicated slot),4GB 1GB RAM,alcatel One Touch Scribe HD,GSM / HSPA / LTE,Quad-core 1.2 GHz Cortex-A7,Android 4.1 (Jelly Bean),"Li-Ion 2500 mAh, removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","Accelerometer, proximity, compass",,LED flash,"8 MP, AF",,Yes,About 350 EUR,,1.3 MP,,Yes,Yes,,,,,,,phone,alcatel
181,144 x 75 x 8.5 mm (5.67 x 2.95 x 0.33 in),Micro-SIM,-,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","5.0 inches, 68.9 cm2 (~63.8% screen-to-body ratio)",TFT,"2013, January. Released 2013, March",microSDHC (dedicated slot),4GB 1GB RAM,alcatel One Touch Scribe X,GSM / HSPA,Quad-core 1.2 GHz Cortex-A7,Android 4.1 (Jelly Bean),"Li-Ion 2500 mAh, removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","Accelerometer, proximity, compass",,LED flash,"12 MP, AF",,1080p@30fps,About 620 EUR,,1 MP,,Yes,Yes,,,,,,,phone,alcatel
182,144 x 75 x 8.5 mm (5.67 x 2.95 x 0.33 in),Micro-SIM,135 g (4.76 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","5.0 inches, 68.9 cm2 (~63.8% screen-to-body ratio)",IPS LCD,"2013, January. Released 2013, October",microSDHC (dedicated slot),4GB 1GB RAM,alcatel One Touch Scribe HD,GSM / HSPA,Quad-core 1.2 GHz Cortex-A7,Android 4.1 (Jelly Bean),"Li-Ion 2500 mAh, removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","Accelerometer, proximity, compass",,LED flash,"8 MP, AF",,Yes,About 220 EUR,,Yes,,Yes,Yes,,,,,,,phone,alcatel
183,114.5 x 61 x 12.5 mm (4.51 x 2.40 x 0.49 in),Mini-SIM,136 g (4.80 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)","3.5 inches, 36.5 cm2 (~52.2% screen-to-body ratio)","TFT, 256K colors","2012, November. Released 2012, November",microSDHC (dedicated slot),512MB 512MB RAM,alcatel OT,GSM / HSPA,1.0 GHz,Android 2.3 (Gingerbread),"Li-Ion 1300 mAh, removable","3.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity, compass",,,3.15 MP,,480p@15fps,About 50 EUR,,,,Yes,Yes,,,,,,,phone,alcatel
184,129.8 x 68 x 11 mm (5.11 x 2.68 x 0.43 in),"Dual SIM (Mini-SIM, dual stand-by)",143 g (5.04 oz),"480 x 800 pixels, 5:3 ratio (~217 ppi density)","4.3 inches, 52.6 cm2 (~59.6% screen-to-body ratio)",TFT,"2012, July. Released 2012, September",microSDHC (dedicated slot),4GB 1GB RAM,alcatel OT,GSM / HSPA,Dual-core 1.0 GHz Cortex-A9,Android 4.0 (Ice Cream Sandwich),"Li-Ion 1800 mAh, removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity, compass",,LED flash,"8 MP, AF",,720p@30fps,About 280 EUR,,VGA,,Yes,Yes,,,,,,,phone,alcatel
185,129.8 x 68 x 11 mm (5.11 x 2.68 x 0.43 in),Mini-SIM,143 g (5.04 oz),"480 x 800 pixels, 5:3 ratio (~217 ppi density)","4.3 inches, 52.6 cm2 (~59.6% screen-to-body ratio)",TFT,"2012, August. Released 2012, September",microSDHC (dedicated slot),4GB 1GB RAM,alcatel OT,GSM / HSPA,Dual-core 1.0 GHz Cortex-A9,Android 4.0 (Ice Cream Sandwich),"Li-Ion 1800 mAh, removable","4.0, A2DP",,No,GPS,"Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity, compass",,LED flash,"8 MP, AF",,720p@30fps,About 250 EUR,,VGA,,Yes,Yes,,,,,,,phone,alcatel
186,124 x 64.2 x 10.7 mm (4.88 x 2.53 x 0.42 in),"Dual SIM (Mini-SIM, dual stand-by)",-,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","4.0 inches, 45.5 cm2 (~57.2% screen-to-body ratio)",TFT,2012. Released 2012,microSDHC (dedicated slot),4GB 512MB RAM,alcatel OT,GSM / HSPA,Dual-core 1.0 GHz Cortex-A9,Android 4.0 (Ice Cream Sandwich),"Li-Ion 1500 mAh, removable","4.0, A2DP",,No,GPS,"FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",Accelerometer,,LED flash,5 MP,,720p@30fps,,,VGA,,Yes,Yes,,,,,,,phone,alcatel
187,127.4 x 66.1 x 10.9 mm (5.02 x 2.60 x 0.43 in),Mini-SIM,144.5 g (5.08 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)","4.0 inches, 45.5 cm2 (~54.1% screen-to-body ratio)",TFT,2012,microSDHC (dedicated slot),512MB,alcatel OT,GSM / HSPA,,Android 2.3 (Gingerbread),"Li-Ion, removable","3.0, A2DP",,No,GPS,FM radio,microUSB 2.0,Wi-Fi 802.11 b/g,"Accelerometer, proximity",,,3.15 MP,,Yes,About 210 EUR,,VGA,,Yes,Yes,,,,,,,phone,alcatel
188,119.9 x 66 x 13.7 mm (4.72 x 2.60 x 0.54 in),Mini-SIM,155 g (5.47 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)","3.5 inches, 36.5 cm2 (~46.1% screen-to-body ratio)","TFT, 256K colors","2012, October. Released 2012, October","microSDHC (dedicated slot), 2 GB included",1GB 512MB RAM,alcatel OT,CDMA / EVDO,800 MHz Cortex-A5,Android 2.3.5 (Gingerbread),"Li-Ion 1400 mAh, removable",Yes,,No,GPS,FM radio,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity",,,3.15 MP,,Yes,About 380 EUR,,,,Yes,Yes,,,,,,,phone,alcatel
189,124.4 x 63.9 x 11.4 mm (4.90 x 2.52 x 0.45 in),Mini-SIM,150 g (5.29 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)","4.0 inches, 45.5 cm2 (~57.3% screen-to-body ratio)",TFT,"2012, August. Released 2012, August",microSDHC (dedicated slot),3GB,alcatel OT,GSM / HSPA,1.0 GHz Cortex-A9,Android 4.0 (Ice Cream Sandwich),Removable Li-Ion 1500 mAh battery,"3.0, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity, compass",,LED flash,"5 MP, AF",,Yes,About 150 EUR,,VGA,,Yes,Yes,,,,,,,phone,alcatel
190,110 x 57.6 x 12.5 mm (4.33 x 2.27 x 0.49 in),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",114 g (4.02 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~38.3% screen-to-body ratio)","TFT, 256K colors","2012, August. Released 2012, August",microSDHC (dedicated slot),150MB,alcatel OT,GSM / HSPA,650 MHz Cortex-A9,Android 2.3 (Gingerbread),Removable Li-Ion 1300 mAh battery,"3.0, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity",,,2 MP,,Yes,About 50 EUR,,,,Yes,Yes,,,,,,,phone,alcatel
191,115 x 61 x 12.5 mm (4.53 x 2.40 x 0.49 in),Mini-SIM,101 g (3.56 oz),"320 x 240 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm2 (~25.4% screen-to-body ratio)","TFT, 256K colors","2012, April. Released 2012, June",microSDHC (dedicated slot),2MB,alcatel OT,GSM,208 MHz,,Removable Li-Ion 1000 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,Wi-Fi 802.11 b/g,,,,2 MP,,Yes,About 60 EUR,,,,Yes,Yes,,,,,,,phone,alcatel
192,92.5 x 46 x 17.2 mm (3.64 x 1.81 x 0.68 in),Mini-SIM,76 g (2.68 oz),128 x 160 pixels (~116 ppi density),"1.77 inches, 9.9 cm2 (~23.2% screen-to-body ratio)","TFT, 256K colors","Exp. announcement 2012, August. Released 2012, August",microSDHC (dedicated slot),2MB,alcatel OT,GSM,104 MHz,,Removable Li-Ion 650 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,,,,2 MP,,Yes,About 50 EUR,,,,Yes,Yes,,,,,,,phone,alcatel
193,98 x 54 x 12.7 mm (3.86 x 2.13 x 0.5 in),Mini-SIM,-,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm2 (~33.7% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2012, August. Released 2012, August",microSDHC (dedicated slot),,alcatel OT,GSM,104 MHz,,Removable Li-Ion 850 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,,,,VGA,,Yes,,,,,Yes,Yes,,,,,,,phone,alcatel
194,"130 x 70 x 9.8 mm, 87.2 cc (5.12 x 2.76 x 0.39 in)",Mini-SIM,-,"720 x 1280 pixels, 16:9 ratio (~326 ppi density)","4.5 inches, 55.8 cm2 (~61.3% screen-to-body ratio)","IPS LCD,","2012, May. Released 2012, August",microSDHC (dedicated slot),8GB 1GB RAM,alcatel OT,GSM / HSPA,Dual-core 1.5 GHz Cortex-A9,Android 4.0 (Ice Cream Sandwich),Removable Li-Ion 1800 mAh battery,"4.0, A2DP",,,"GPS, A-GPS",FM radio,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity",,LED flash,"5 MP, AF",,Yes,About 250 EUR,,2 MP,,Yes,Yes,,,,,,,phone,alcatel
195,122 x 68 x 10.8 mm (4.80 x 2.68 x 0.43 in),Mini-SIM,131.3 g (4.62 oz),"320 x 480 pixels, 3:2 ratio (~144 ppi density)","4.0 inches, 47.6 cm2 (~57.4% screen-to-body ratio)","TFT, 256K colors","2012, February. Released 2012, Q3",microSDHC (dedicated slot),150MB,alcatel OT,GSM / HSPA,800 MHz Cortex-A9,Android 2.3 (Gingerbread),Removable Li-Ion 1500 mAh battery,"4.0, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot","Accelerometer, proximity, compass",,LED flash,3.15 MP,,Yes,About 130 EUR,,Yes,,Yes,Yes,,,,,,,phone,alcatel
